category,title,description,resource,region,statusWord,message
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,canadaeast,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,qatarcentral,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,polandcentral,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,italynorth,OK,No storage accounts found
Storage Accounts,Storage Accounts Encryption,Ensures encryption is enabled for Storage Accounts,N/A,israelcentral,OK,No storage accounts found
Storage Accounts,Log Storage Encryption,Ensures BYOK encryption is properly configured in the Activity Log Storage Account,N/A,global,OK,No diagnostic settings found
Storage Accounts,Log Container Public Access,Ensures that the Activity Log Container does not have public read access,N/A,global,OK,No diagnostic settings found
Storage Accounts,Storage Accounts AAD Enabled,Ensures that identity-based Directory Service for Azure File Authentication is enabled for all Azure Files,N/A,eastus,OK,No storage accounts found
Storage Accounts,Storage Accounts AAD Enabled,Ensures that identity-based Directory Service for Azure File Authentication is enabled for all Azure Files,N/A,eastus2,OK,No storage accounts found
Storage Accounts,Storage Accounts AAD Enabled,Ensures that identity-based Directory Service for Azure File Authentication is enabled for all Azure Files,N/A,southcentralus,OK,No storage accounts found
Storage Accounts,Storage Accounts AAD Enabled,Ensures that identity-based Directory Service for Azure File Authentication is enabled for all Azure Files,N/A,westus2,OK,No storage accounts found
Storage Accounts,Storage Accounts AAD Enabled,Ensures that identity-based Directory Service for Azure File Authentication is enabled for all Azure Files,N/A,westus3,OK,No storage accounts found
Storage Accounts,Storage Accounts AAD Enabled,Ensures that identity-based Directory Service for Azure File Authentication is enabled for all Azure Files,N/A,centralus,OK,No storage accounts found
Storage Accounts,Storage Accounts AAD Enabled,Ensures that identity-based Directory Service for Azure File Authentication is enabled for all Azure Files,N/A,northcentralus,OK,No storage accounts found
